"booti","stat","value"
"60","pubpar2",0.666666666666667
"60","loglike",-1.81303213649896
"61","pif",0.743371953439424
"61","pia",0.776532066976194
"61","mua",2.19321323475031
"61","siga",1.57961566147651
"61","mub",2.96680476222615
"61","sigb",4.97061636870098
"61","pubpar1",NA
"61","pubpar2",0.380014504912124
"61","loglike",-1.78312195808312
"62","pif",0.325426984833275
"62","pia",0.871284527649967
"62","mua",1.15422754107893
"62","siga",2.48277002777941
"62","mub",5.0504479732548
"62","sigb",7.24704378302786
"62","pubpar1",NA
"62","pubpar2",0.666666666666667
"62","loglike",-1.79586746626018
"63","pif",0.362243413536056
"63","pia",0.11428239502511
"63","mua",3.82738237140728
"63","siga",5.29478522493866
"63","mub",1.21373330370423
"63","sigb",2.46150650271235
"63","pubpar1",NA
"63","pubpar2",0.666666666666667
"63","loglike",-1.8133855824274
"64","pif",0.41125072812268
"64","pia",0.940716844974575
"64","mua",1.18591177212966
"64","siga",2.44841634589477
"64","mub",7.55091540823168
"64","sigb",3.85064244769719
"64","pubpar1",NA
"64","pubpar2",0.666666666666667
"64","loglike",-1.81259252581194
"65","pif",0.4622480708468
"65","pia",0.966330092954463
"65","mua",0.5
"65","siga",2.86367712443112
"65","mub",10
"65","sigb",2.96455592145964
"65","pubpar1",NA
"65","pubpar2",0.666666666666667
"65","loglike",-1.81191667277491
"66","pif",0.428256344640638
"66","pia",0.852067309133328
"66","mua",0.703744542746947
"66","siga",2.56386356155006
"66","mub",2.68621197069119
"66","sigb",5.34894404160352
"66","pubpar1",NA
"66","pubpar2",0.666666666666667
"66","loglike",-1.81316978748475
"67","pif",0.377156772221925
"67","pia",0.155808070853272
"67","mua",1.84900714922208
"67","siga",5.81771030797628
"67","mub",1.26597861247863
"67","sigb",2.24993372482452
"67","pubpar1",NA
"67","pubpar2",0.666666666666667
"67","loglike",-1.81339679976464
"68","pif",0.45139718892292
"68","pia",0.963259447770559
"68","mua",0.548265693916696
"68","siga",2.84085013836601
"68","mub",9.4335236970643
"68","sigb",3.2134512179371
"68","pubpar1",NA
"68","pubpar2",0.666666666666667
"68","loglike",-1.81199861627019
"69","pif",0.326195035930701
"69","pia",0.915763220448353
"69","mua",1.05143904606592
"69","siga",2.51491950718568
"69","mub",5.49225863685633
"69","sigb",4.75960128477714
"69","pubpar1",NA
"69","pubpar2",0.666666666666667
"69","loglike",-1.81302072885368
"70","pif",0.0912236897163154
"70","pia",0.832006547517802
"70","mua",0.558844989457383
"70","siga",2.46293703158796
"70","mub",1.29077050748204
"70","sigb",6.01992096580132
"70","pubpar1",NA
"70","pubpar2",0.662722729780127
"70","loglike",-1.79152462429719
"71","pif",0.288882953004466
"71","pia",0.113754721640134
"71","mua",3.42963847108953
"71","siga",5.29001663341621
"71","mub",1
"71","sigb",2.46295451012866
"71","pubpar1",NA
"71","pubpar2",0.666666666666667
"71","loglike",-1.81351927972043
"72","pif",0.392640888827558
"72","pia",0.941295138616693
"72","mua",1.32302334537937
"72","siga",2.17010221342323
"72","mub",5.03132605555391
"72","sigb",10
"72","pubpar1",NA
"72","pubpar2",0.580895592319297
"72","loglike",-1.79983375441116
"73","pif",0.691704135849459
"73","pia",0.767538197926158
"73","mua",1.82856580034472
"73","siga",2.12970290808735
"73","mub",2.16926546635229
"73","sigb",5.26040500541417
"73","pubpar1",NA
"73","pubpar2",0.591810048742367
"73","loglike",-1.81769118607571
"74","pif",0.189892510542099
"74","pia",0.876046346817339
"74","mua",0.690003422966498
"74","siga",2.49999573488598
"74","mub",4.02443104237839
"74","sigb",4.972735218906
"74","pubpar1",NA
"74","pubpar2",0.662194770926521
"74","loglike",-1.81350820665588
"75","pif",0.307789372027392
"75","pia",0.822893289244111
"75","mua",1.77947089216032
"75","siga",2.03064203153773
"75","mub",1
"75","sigb",5.77301228418009
"75","pubpar1",NA
"75","pubpar2",0.666666666666667
"75","loglike",-1.78973702572929
"76","pif",0.406405655785765
"76","pia",0.147839082712908
"76","mua",2.54932001735321
"76","siga",6.49464268138474
"76","mub",1.26171097562251
"76","sigb",2.07545458585528
"76","pubpar1",NA
"76","pubpar2",0.648004139635344
"76","loglike",-1.79342713275054
"77","pif",0.405558166694688
"77","pia",0.941125680382079
"77","mua",0.5
"77","siga",2.72525790750201
"77","mub",7.12589663370785
"77","sigb",4.21810036775389
"77","pubpar1",NA
"77","pubpar2",0.664483437310602
"77","loglike",-1.81259032003041
"78","pif",0.502944858294804
"78","pia",0.843275375074965
"78","mua",1.25706550541153
"78","siga",2.37980174174422
"78","mub",1.28998073793325
"78","sigb",5.64479820211674
"78","pubpar1",NA
"78","pubpar2",0.619409044732249
"78","loglike",-1.81478316043364
"79","pif",0.121481591123563
"79","pia",0.139388216059419
"79","mua",2.55589909587786
"79","siga",5.6234867647952
"79","mub",1
"79","sigb",2.38487719975047
"79","pubpar1",NA
"79","pubpar2",0.666666666666667
"79","loglike",-1.79077283015253
"80","pif",0.443990998088348
"80","pia",0.936312648558179
"80","mua",0.5
"80","siga",2.72316867515398
"80","mub",7.50471018326873
"80","sigb",3.77962437386933
"80","pubpar1",NA
"80","pubpar2",0.666666666666667
"80","loglike",-1.81260338622483
"81","pif",0.553120680322075
"81","pia",0.739480096160054
"81","mua",1.16182415131666
"81","siga",1.89606693958068
"81","mub",1
"81","sigb",4.91810202644544
"81","pubpar1",NA
"81","pubpar2",0.464863127018032
"81","loglike",-1.74591794775606
"82","pif",0.360969438380393
"82","pia",0.840619354193877
"82","mua",1.16591550131732
"82","siga",2.30778785703401
"82","mub",1
"82","sigb",5.84670591252718
"82","pubpar1",NA
"82","pubpar2",0.666666666666667
"82","loglike",-1.81326103099451
"83","pif",0.408727713765268
"83","pia",0.951053563319358
"83","mua",1.22282074452283
"83","siga",2.5090621450275
"83","mub",8.25996530081392
"83","sigb",3.39128808753534
"83","pubpar1",NA
"83","pubpar2",0.666666666666667
"83","loglike",-1.81240720559093
"84","pif",0.397608219423524
"84","pia",0.954288962967222
"84","mua",1.92240547856658
"84","siga",2.08899773973704
"84","mub",7.69446184865479
"84","sigb",2.78983386303143
"84","pubpar1",NA
"84","pubpar2",0.520349149846309
"84","loglike",-1.7956170585824
"85","pif",0.217723308869274
"85","pia",0.943054840891415
"85","mua",0.767425146867395
"85","siga",2.64980857118558
"85","mub",6.843881885798
"85","sigb",4.3143500931427
"85","pubpar1",NA
"85","pubpar2",0.656125737575989
"85","loglike",-1.79207863011848
"86","pif",0.347758914559672
"86","pia",0.854342521674845
"86","mua",0.632513923905216
"86","siga",2.50121200658881
"86","mub",1.90289775838886
"86","sigb",5.7003754355618
"86","pubpar1",NA
"86","pubpar2",0.666666666666667
"86","loglike",-1.81309518115307
"87","pif",0.230985480481455
"87","pia",0.812101176791508
"87","mua",0.989026612332159
"87","siga",2.30159331853779
"87","mub",1.1943525146907
"87","sigb",6.20365229875326
"87","pubpar1",NA
"87","pubpar2",0.64327524084877
"87","loglike",-1.79164274682551
"88","pif",0.493504333320776
"88","pia",0.836735136660198
"88","mua",1.69002250917696
"88","siga",1.59129978784386
"88","mub",4.87187061719497
"88","sigb",4.30158921611159
"88","pubpar1",NA
"88","pubpar2",0.614440571180264
"88","loglike",-1.77805951036784
"89","pif",0.307895961566904
"89","pia",0.836300083764133
"89","mua",0.5
"89","siga",2.47321494075496
"89","mub",1
"89","sigb",5.85202026429132
"89","pubpar1",NA
"89","pubpar2",0.666666666666667
"89","loglike",-1.81322237463303
"90","pif",0.341001539167181
"90","pia",0.826299062091271
"90","mua",1.3870309151174
"90","siga",2.15601834899517
"90","mub",1
"90","sigb",5.68775134606046
"90","pubpar1",NA
"90","pubpar2",0.666666666666667
"90","loglike",-1.81340662283766
"91","pif",0.209384763814042
"91","pia",0.90235938169546
"91","mua",1.64775986414998
"91","siga",1.83291437860375
"91","mub",7.1661215485213
"91","sigb",2.70694995422766
"91","pubpar1",NA
"91","pubpar2",0.626957301307471
"91","loglike",-1.76732658388608
"92","pif",0.453737600375945
"92","pia",0.131374302454073
"92","mua",0.5
"92","siga",6.52948393764525
"92","mub",1
"92","sigb",2.51544574082551
"92","pubpar1",NA
"92","pubpar2",0.65534372159967
"92","loglike",-1.81397683368059
"93","pif",0.381354360908597
"93","pia",0.812721880144505
"93","mua",1.03259652076209
"93","siga",2.28979944113935
"93","mub",1.18212747085584
"93","sigb",5.44557180581313
"93","pubpar1",NA
"93","pubpar2",0.666666666666667
"93","loglike",-1.81345601344144
"94","pif",0.369755665157956
"94","pia",0.884313416328027
"94","mua",0.653955818944685
"94","siga",2.5632713998385
"94","mub",4.94164456375808
"94","sigb",4.43489579016143
"94","pubpar1",NA
"94","pubpar2",0.666666666666667
"94","loglike",-1.81294040492062
"95","pif",0.001
"95","pia",0.867273026292666
"95","mua",0.986957665513474
"95","siga",1.89082163105389
"95","mub",2.96111014843133
"95","sigb",5.20086758611778
"95","pubpar1",NA
"95","pubpar2",0.666666666666667
"95","loglike",-1.79129787239391
"96","pif",0.0149426141471178
"96","pia",0.847518127801319
"96","mua",0.601663887279408
"96","siga",2.19562814405008
"96","mub",1.10296828424965
"96","sigb",5.78554757990111
"96","pubpar1",NA
"96","pubpar2",0.666666666666667
"96","loglike",-1.7871672222801
"97","pif",0.526357991446179
"97","pia",0.848838021349015
"97","mua",0.883079103662186
"97","siga",2.59727716790644
"97","mub",1
"97","sigb",6.01350403962826
"97","pubpar1",NA
"97","pubpar2",0.666666666666667
"97","loglike",-1.81407191079983
"98","pif",0.350041069539648
"98","pia",0.914064189272761
"98","mua",1.65774588271547
"98","siga",2.35980899178001
"98","mub",4.65190534957002
"98","sigb",7.45022117094547
"98","pubpar1",NA
"98","pubpar2",0.666666666666667
"98","loglike",-1.78591890940067
"99","pif",0.342409391749021
"99","pia",0.163328820719811
"99","mua",0.668858593315907
"99","siga",5.83850361152611
"99","mub",1.01795357573017
"99","sigb",2.31355898632801
"99","pubpar1",NA
"99","pubpar2",0.659281817271406
"99","loglike",-1.81335394901468
"100","pif",0.727018580901339
"100","pia",0.81688540707661
"100","mua",2.35657417458022
"100","siga",2.06276904505573
"100","mub",1.97772302578557
"100","sigb",5.24594811746003
"100","pubpar1",NA
"100","pubpar2",0.489167876563805
"100","loglike",-1.77780677588622
"101","pif",0.0998759397343472
"101","pia",0.0770823982259487
"101","mua",1.72333122412814
"101","siga",5.41638218418446
"101","mub",1.23018681189762
"101","sigb",2.49910301548422
"101","pubpar1",NA
"101","pubpar2",0.654424622162538
"101","loglike",-1.80181372841162
"102","pif",0.396182188894174
"102","pia",0.906914025796962
"102","mua",0.804198325963989
"102","siga",2.57559562739002
"102","mub",5.16636141003506
"102","sigb",4.6943457978628
"102","pubpar1",NA
"102","pubpar2",0.666666666666667
"102","loglike",-1.81270360410119
"103","pif",0.347700730026634
"103","pia",0.821248759178887
"103","mua",0.762341608558076
"103","siga",2.39935134074774
"103","mub",1.02058915192313
"103","sigb",5.54901207623218
"103","pubpar1",NA
"103","pubpar2",0.666666666666667
"103","loglike",-1.81329710475114
"104","pif",0.531188491547049
"104","pia",0.839659383571176
"104","mua",2.10107280314918
"104","siga",1.8473153344292
"104","mub",4.0057516120322
"104","sigb",4.98865446108356
"104","pubpar1",NA
"104","pubpar2",0.666666666666667
"104","loglike",-1.81466126081978
"105","pif",0.40233649057264
"105","pia",0.143319229256362
"105","mua",3.8404916911616
"105","siga",4.77745660390151
"105","mub",1.10671051376757
"105","sigb",2.38049102951183
"105","pubpar1",NA
"105","pubpar2",0.665864145797854
"105","loglike",-1.81307241584027
"106","pif",0.473536882377786
"106","pia",0.924981869891787
"106","mua",1.15048460889087
"106","siga",2.5672381435491
"106","mub",4.37339688719443
"106","sigb",5.27141689825033
"106","pubpar1",NA
"106","pubpar2",0.559341993146907
"106","loglike",-1.77842836430287
"107","pif",0.354068465537479
"107","pia",0.138623064779612
"107","mua",4
"107","siga",4.87747468406255
"107","mub",1
"107","sigb",2.40610629323664
"107","pubpar1",NA
"107","pubpar2",0.666666666666667
"107","loglike",-1.81296737415368
"108","pif",0.0828508333358621
"108","pia",0.838496724804045
"108","mua",0.532394739465455
"108","siga",2.35605039163671
"108","mub",1.0484031848617
"108","sigb",5.76321705430771
"108","pubpar1",NA
"108","pubpar2",0.664103543795553
"108","loglike",-1.81400033438506
"109","pif",0.304684741819112
"109","pia",0.898824610997846
"109","mua",0.5
"109","siga",2.59827298130712
"109","mub",4.64368382278603
"109","sigb",4.95705116821279
"109","pubpar1",NA
"109","pubpar2",0.666666666666667
"109","loglike",-1.81292149994809
"110","pif",0.376307515073017
"110","pia",0.844294060012957
"110","mua",0.5
"110","siga",2.52407932276844
